R001 E9,E10
R002 E11,E12,E13,E14
R003 E4,E5,E6,E7
R004 E15,E16,E17
R005 G6,G7,G8,G9,G10,G11,G12,G13
R006 C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
R007 I7,I8,I9,I10,I11,I12,I13
R008 A5,A6,A7,A8,A9,A10,A11,A12,A13,A14
R009 F6,F7,F8,F9,F10,F11,F12,F13
R010 E1,E2,E3
R011 E8
R012 E18
R013 E0,E19,F0,F1,F2,F3,F4,F5,F14,F15,F16,F17,F18,F19,G0,G1,G2,G3,G4,G5
R014 H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17
R015 G14,G15,G16
R016 D6,D7,D8,D9,D10,D11,D12,D13
R017 J6,J7,J8,J9,J10,J11,J12,J13,J14
R018 I2,I3,I4,I5
R019 B6,B7,B8,B9,B10,B11,B12,B13
R020 B0,B1,B2,C0,C1,C2,C3,C16,C17,C18,C19,D0,D1,D2,D3,D4,D5,D14,D15,D16,D17,D18,D19,G17,G18,G19,H0,H1,H2,H18,H19,I0,I1,I6,I14,I15,I16,I17,I18,I19
R021 A0,A1,A2,A3,A4,A15,A16,A17,A18,A19,B3,B4,B5,B14,B15,B16,B17,B18,B19,J0,J1,J2,J3,J4,J5,J15,J16,J17,J18,J19
